ticket_id,user_id,issue_type,created_at,resolved_at,resolution_days,resolved,satisfaction_score
TKT000001,USR09762,money_not_received,2025-11-12 15:41:09,2025-11-19 15:41:09,7,True,4
TKT000002,USR02726,account_blocked,2026-02-20 15:41:09,2026-02-20 15:41:09,0,True,4
TKT000003,USR08312,money_not_received,2025-10-12 15:41:09,2025-10-22 15:41:09,10,True,5
TKT000004,USR06640,transaction_failed,2025-12-25 15:41:09,2026-01-01 15:41:09,7,True,3
TKT000005,USR06640,kyc_issue,2025-12-06 15:41:09,2025-12-08 15:41:09,2,True,4
TKT000006,USR02177,wrong_charge,2025-12-06 15:41:09,2025-12-07 15:41:09,1,True,5
TKT000007,USR04312,account_blocked,2025-09-12 15:41:09,2025-09-22 15:41:09,10,True,3
TKT000008,USR04253,money_not_received,2025-08-21 15:41:09,2025-08-24 15:41:09,3,True,3
TKT000009,USR07065,transaction_failed,2025-10-15 15:41:09,2025-10-22 15:41:09,7,False,4
TKT000010,USR07065,money_not_received,2026-01-30 15:41:09,2026-02-04 15:41:09,5,True,5
TKT000011,USR09749,general_query,2025-11-20 15:41:09,2025-11-30 15:41:09,10,True,5
TKT000012,USR09749,money_not_received,2026-05-07 15:41:09,2026-05-20 15:41:09,13,False,3
TKT000013,USR03383,account_blocked,2025-12-26 15:41:09,2026-01-03 15:41:09,8,True,3
TKT000014,USR07605,account_blocked,2025-12-17 15:41:09,2025-12-22 15:41:09,5,False,4
TKT000015,USR04259,account_blocked,2026-04-24 15:41:09,2026-05-07 15:41:09,13,True,5
TKT000016,USR07343,money_not_received,2025-11-11 15:41:09,2025-11-15 15:41:09,4,True,3
TKT000017,USR05774,app_crash,2025-09-04 15:41:09,2025-09-15 15:41:09,11,True,4
TKT000018,USR08047,money_not_received,2026-05-26 15:41:09,2026-06-01 15:41:09,6,True,3
TKT000019,USR08567,money_not_received,2026-01-29 15:41:09,2026-02-02 15:41:09,4,True,4
TKT000020,USR04937,account_blocked,2025-11-12 15:41:09,2025-11-14 15:41:09,2,True,5
TKT000021,USR04937,transaction_failed,2026-04-21 15:41:09,2026-04-22 15:41:09,1,True,4
TKT000022,USR02811,kyc_issue,2025-08-18 15:41:09,2025-08-18 15:41:09,0,True,3
TKT000023,USR02811,app_crash,2025-09-23 15:41:09,2025-10-03 15:41:09,10,True,5
TKT000024,USR02811,transaction_failed,2025-10-03 15:41:09,2025-10-04 15:41:09,1,True,3
TKT000025,USR09543,money_not_received,2025-11-18 15:41:09,2025-11-25 15:41:09,7,True,5
TKT000026,USR05540,general_query,2026-03-25 15:41:09,2026-03-29 15:41:09,4,False,3
TKT000027,USR08482,account_blocked,2025-10-17 15:41:09,2025-10-22 15:41:09,5,True,5
TKT000028,USR09418,kyc_issue,2026-02-04 15:41:09,2026-02-12 15:41:09,8,True,5
TKT000029,USR06516,account_blocked,2026-02-25 15:41:09,2026-03-01 15:41:09,4,True,4
TKT000030,USR06516,money_not_received,2026-02-12 15:41:09,2026-02-14 15:41:09,2,True,2
TKT000031,USR06516,kyc_issue,2026-04-30 15:41:09,2026-04-30 15:41:09,0,False,5
TKT000032,USR07423,general_query,2025-08-20 15:41:09,2025-08-30 15:41:09,10,True,3
TKT000033,USR07423,transaction_failed,2026-02-06 15:41:09,2026-02-19 15:41:09,13,True,5
TKT000034,USR06537,general_query,2026-04-29 15:41:09,2026-05-02 15:41:09,3,True,4
TKT000035,USR06997,wrong_charge,2025-09-03 15:41:09,2025-09-07 15:41:09,4,True,3
TKT000036,USR06997,app_crash,2026-02-11 15:41:09,2026-02-14 15:41:09,3,True,5
TKT000037,USR06572,kyc_issue,2026-03-31 15:41:09,2026-04-07 15:41:09,7,True,3
TKT000038,USR07177,kyc_issue,2025-08-26 15:41:09,2025-09-05 15:41:09,10,True,5
TKT000039,USR04981,kyc_issue,2026-04-04 15:41:09,2026-04-06 15:41:09,2,False,5
TKT000040,USR03502,kyc_issue,2025-11-04 15:41:09,2025-11-16 15:41:09,12,True,4
TKT000041,USR03502,app_crash,2026-01-15 15:41:09,2026-01-27 15:41:09,12,True,3
TKT000042,USR07403,money_not_received,2025-11-20 15:41:09,2025-11-29 15:41:09,9,True,4
TKT000043,USR02184,app_crash,2025-09-10 15:41:09,2025-09-11 15:41:09,1,True,5
TKT000044,USR02184,money_not_received,2025-08-28 15:41:09,2025-09-10 15:41:09,13,True,3
TKT000045,USR02184,account_blocked,2025-12-25 15:41:09,2025-12-27 15:41:09,2,True,3
TKT000046,USR02184,general_query,2026-01-22 15:41:09,2026-01-25 15:41:09,3,True,5
TKT000047,USR05061,app_crash,2026-01-20 15:41:09,2026-01-31 15:41:09,11,True,5
TKT000048,USR05061,app_crash,2025-08-31 15:41:09,2025-09-07 15:41:09,7,True,3
TKT000049,USR03291,account_blocked,2025-12-01 15:41:09,2025-12-12 15:41:09,11,True,4
TKT000050,USR03291,general_query,2026-03-02 15:41:09,2026-03-11 15:41:09,9,True,5
TKT000051,USR03220,account_blocked,2026-04-01 15:41:09,2026-04-12 15:41:09,11,True,4
TKT000052,USR05053,transaction_failed,2026-01-13 15:41:09,2026-01-23 15:41:09,10,False,3
TKT000053,USR06676,money_not_received,2026-02-11 15:41:09,2026-02-16 15:41:09,5,True,4
TKT000054,USR01306,transaction_failed,2025-11-11 15:41:09,2025-11-18 15:41:09,7,False,3
TKT000055,USR01306,money_not_received,2026-01-09 15:41:09,2026-01-14 15:41:09,5,True,5
TKT000056,USR05904,app_crash,2026-06-11 15:41:09,2026-06-11 15:41:09,0,True,4
TKT000057,USR09635,kyc_issue,2026-01-19 15:41:09,2026-01-21 15:41:09,2,True,4
TKT000058,USR09801,account_blocked,2026-02-07 15:41:09,2026-02-20 15:41:09,13,False,4
TKT000059,USR09162,transaction_failed,2026-02-01 15:41:09,2026-02-13 15:41:09,12,True,5
TKT000060,USR00812,transaction_failed,2025-12-08 15:41:09,2025-12-12 15:41:09,4,False,4
TKT000061,USR04149,wrong_charge,2026-05-19 15:41:09,2026-05-30 15:41:09,11,False,4
TKT000062,USR00760,money_not_received,2026-05-07 15:41:09,2026-05-20 15:41:09,13,False,5
TKT000063,USR06866,transaction_failed,2026-06-06 15:41:09,2026-06-11 15:41:09,5,True,5
TKT000064,USR01067,account_blocked,2025-11-05 15:41:09,2025-11-16 15:41:09,11,True,4
TKT000065,USR05901,transaction_failed,2025-11-05 15:41:09,2025-11-08 15:41:09,3,True,1
TKT000066,USR05901,transaction_failed,2026-02-27 15:41:09,2026-03-12 15:41:09,13,True,2
TKT000067,USR08964,kyc_issue,2025-10-24 15:41:09,2025-11-01 15:41:09,8,False,4
TKT000068,USR06040,wrong_charge,2026-03-08 15:41:09,2026-03-13 15:41:09,5,True,5
TKT000069,USR05717,account_blocked,2025-09-13 15:41:09,2025-09-26 15:41:09,13,True,3
TKT000070,USR05717,kyc_issue,2025-11-24 15:41:09,2025-12-03 15:41:09,9,True,5
TKT000071,USR05717,transaction_failed,2026-03-08 15:41:09,2026-03-19 15:41:09,11,False,4
TKT000072,USR06006,transaction_failed,2026-05-29 15:41:09,2026-06-02 15:41:09,4,True,3
TKT000073,USR06006,transaction_failed,2026-03-08 15:41:09,2026-03-11 15:41:09,3,True,5
TKT000074,USR00451,wrong_charge,2025-12-06 15:41:09,2025-12-18 15:41:09,12,True,5
TKT000075,USR09400,money_not_received,2026-01-11 15:41:09,2026-01-24 15:41:09,13,True,3
TKT000076,USR02349,app_crash,2026-01-07 15:41:09,2026-01-09 15:41:09,2,False,5
TKT000077,USR01510,money_not_received,2026-05-14 15:41:09,2026-05-27 15:41:09,13,True,3
