user_id,age,city,account_type,account_balance,kyc_complete,churn,txn_count,total_spent,avg_txn_amount,days_since_last_txn,app_open_count,active_days,ticket_count,avg_satisfaction
USR00001,22,Bengaluru,savings,1579.99,True,0,8,13757.12,1719.64,7,8,8,0.0,0.0
USR00002,37,Jaipur,wallet,311.99,True,0,9,11928.71,1325.4122222222222,33,8,8,0.0,0.0
USR00003,29,Mumbai,savings,14187.85,True,0,9,15498.9,1722.1,53,5,5,1.0,4.0
USR00004,29,Lucknow,savings,716.84,True,0,17,17322.58,1018.9752941176472,13,7,7,0.0,0.0
USR00005,19,Mumbai,current,13462.57,True,0,18,26856.99,1492.055,7,7,7,1.0,4.0
USR00006,48,Jaipur,savings,200.31,True,0,14,19209.17,1372.0835714285713,28,9,7,0.0,0.0
USR00007,41,Mumbai,wallet,10253.21,True,0,13,24873.29,1913.33,18,9,9,0.0,0.0
USR00008,22,Bengaluru,savings,21119.6,True,0,11,15539.32,1412.6654545454546,43,8,8,0.0,0.0
USR00009,18,Ahmedabad,savings,13665.82,True,0,8,13687.6,1710.95,16,4,4,2.0,4.0
USR00010,23,Kolkata,current,48729.21,True,0,14,27058.66,1932.7614285714285,34,6,6,0.0,0.0
USR00011,38,Mumbai,wallet,11736.11,True,0,10,18592.3,1859.23,36,7,6,0.0,0.0
USR00012,27,Delhi,savings,1101.22,False,1,4,1713.23,428.3075,35,1,1,1.0,1.0
USR00013,43,Delhi,savings,1153.94,True,0,13,24800.49,1907.73,28,9,9,0.0,0.0
USR00014,40,Mumbai,savings,8952.58,True,0,16,18500.53,1156.283125,16,6,6,0.0,0.0
USR00015,43,Bengaluru,savings,32733.78,True,0,14,20059.17,1432.797857142857,28,6,6,0.0,0.0
USR00016,51,Delhi,savings,19187.43,True,0,15,21058.93,1403.928666666667,31,6,6,0.0,0.0
USR00017,22,Hyderabad,savings,228.33,False,1,8,3279.44,409.93,48,2,2,0.0,0.0
USR00018,37,Hyderabad,savings,2250.69,True,0,22,35368.41,1607.6550000000002,13,11,11,0.0,0.0
USR00019,35,Ahmedabad,wallet,2637.13,True,0,13,12533.92,964.1476923076924,19,11,11,0.0,0.0
USR00020,40,Delhi,savings,9146.84,True,0,16,21058.73,1316.170625,13,8,8,0.0,0.0
USR00021,26,Mumbai,savings,5740.96,True,0,14,16784.03,1198.8592857142855,21,4,4,0.0,0.0
USR00022,30,Delhi,savings,6521.14,True,0,11,14151.78,1286.5254545454543,27,4,4,0.0,0.0
USR00023,53,Jaipur,savings,6178.63,True,0,17,16793.01,987.8241176470588,34,8,8,0.0,0.0
USR00024,32,Mumbai,savings,7758.6,True,0,17,20522.46,1207.2035294117647,10,7,7,0.0,0.0
USR00025,44,Mumbai,current,5028.75,True,0,9,14698.29,1633.1433333333332,10,9,9,1.0,3.0
USR00026,44,Delhi,current,504.14,True,0,11,13616.25,1237.840909090909,36,7,7,0.0,0.0
USR00027,18,Chennai,wallet,4157.17,True,0,15,27503.09,1833.5393333333332,8,11,11,0.0,0.0
USR00028,48,Bengaluru,wallet,24378.92,True,0,9,7519.85,835.5388888888889,37,9,9,0.0,0.0
USR00029,39,Mumbai,savings,5802.15,True,0,9,6653.530000000001,739.2811111111112,49,10,10,0.0,0.0
USR00030,39,Chennai,wallet,3731.56,True,0,5,4889.94,977.988,34,9,9,2.0,4.0
USR00031,38,Delhi,savings,2219.17,True,0,11,11083.66,1007.6054545454546,36,5,5,0.0,0.0
USR00032,18,Delhi,savings,17850.28,True,0,19,34018.25,1790.4342105263158,15,3,3,0.0,0.0
USR00033,18,Kolkata,wallet,1465.89,True,0,12,12242.79,1020.2325,27,12,12,0.0,0.0
USR00034,35,Chennai,wallet,4904.07,True,0,15,12449.94,829.9959999999999,6,4,4,0.0,0.0
USR00035,43,Mumbai,wallet,1318.38,True,0,11,16187.51,1471.591818181818,33,4,4,0.0,0.0
USR00036,31,Jaipur,wallet,6984.98,True,0,16,28361.620000000003,1772.6012500000002,18,11,11,1.0,3.0
USR00037,32,Delhi,current,15831.62,True,0,13,12480.96,960.073846153846,16,5,5,1.0,5.0
USR00038,18,Delhi,current,2955.24,True,0,12,11498.26,958.1883333333334,43,18,17,1.0,3.0
USR00039,38,Delhi,savings,6876.24,True,0,13,23473.43,1805.6484615384616,43,3,3,1.0,3.0
USR00040,18,Ahmedabad,savings,10004.65,True,0,16,25868.59,1616.786875,10,11,11,0.0,0.0
USR00041,47,Chennai,savings,3258.22,True,0,9,8288.68,920.9644444444444,3,10,10,0.0,0.0
USR00042,36,Bengaluru,savings,89.17,True,1,11,5278.61,479.8736363636363,52,3,3,0.0,0.0
USR00043,40,Kolkata,savings,49706.03,True,0,17,21351.86,1255.9917647058824,22,9,9,0.0,0.0
USR00044,18,Bengaluru,savings,4689.36,True,0,13,11324.22,871.0938461538461,45,6,6,0.0,0.0
USR00045,22,Kolkata,current,10957.43,True,0,8,6400.88,800.11,7,8,7,1.0,5.0
USR00046,47,Hyderabad,savings,18511.89,True,0,13,13186.7,1014.3615384615384,14,5,5,0.0,0.0
USR00047,40,Bengaluru,wallet,10741.4,True,0,10,9309.61,930.961,40,9,9,0.0,0.0
USR00048,19,Kolkata,savings,23829.29,True,0,20,17155.63,857.7815,3,4,4,0.0,0.0
USR00049,35,Mumbai,wallet,5965.86,True,0,16,11579.94,723.7462499999999,13,9,9,0.0,0.0
USR00050,25,Mumbai,wallet,464.63,True,0,13,12507.89,962.1453846153846,18,8,8,0.0,0.0
USR00051,34,Jaipur,savings,4752.4,True,0,7,3940.8,562.9714285714286,15,10,10,0.0,0.0
USR00052,23,Hyderabad,current,11368.63,True,0,15,26218.76,1747.917333333333,25,9,9,0.0,0.0
USR00053,34,Bengaluru,savings,629.02,True,0,15,23212.59,1547.506,19,9,9,0.0,0.0
USR00054,38,Jaipur,wallet,385.16,True,0,18,23055.1,1280.8388888888887,33,5,5,0.0,0.0
USR00055,21,Delhi,savings,8760.42,True,0,12,22496.7,1874.725,3,7,7,0.0,0.0
USR00056,30,Jaipur,current,4926.18,True,0,21,22531.18,1072.9133333333334,28,9,9,0.0,0.0
USR00057,20,Mumbai,savings,12521.95,True,0,12,10120.47,843.3725,22,9,9,0.0,0.0
USR00058,52,Mumbai,wallet,706.42,True,0,15,23217.9,1547.86,13,9,9,0.0,0.0
USR00059,24,Delhi,savings,24669.21,True,0,15,18280.98,1218.732,31,6,5,1.0,4.0
USR00060,33,Hyderabad,savings,14350.84,True,0,15,16940.76,1129.3839999999998,8,8,8,0.0,0.0
USR00061,34,Chennai,current,11627.64,True,0,20,23512.69,1175.6345,21,14,14,0.0,0.0
USR00062,57,Hyderabad,wallet,403.04,True,0,15,19117.98,1274.532,12,4,4,0.0,0.0
USR00063,49,Pune,current,25006.34,True,0,18,24093.59,1338.5327777777777,15,13,13,0.0,0.0
USR00064,21,Mumbai,savings,35363.64,True,0,18,19746.02,1097.0011111111112,20,7,7,0.0,0.0
USR00065,29,Chennai,savings,7301.67,True,0,21,22436.07,1068.3842857142856,23,7,7,3.0,3.333333333333333
USR00066,36,Chennai,current,1886.25,True,0,9,9866.24,1096.2488888888888,11,10,9,0.0,0.0
USR00067,42,Bengaluru,savings,11910.16,True,0,18,13033.87,724.1038888888888,17,4,4,0.0,0.0
USR00068,40,Delhi,wallet,7981.19,True,0,17,18456.6,1085.6823529411763,28,7,7,0.0,0.0
USR00069,49,Delhi,savings,4081.78,True,0,14,12035.29,859.6635714285715,2,12,12,0.0,0.0
USR00070,29,Kolkata,savings,5786.03,True,0,18,11203.18,622.3988888888889,10,8,8,0.0,0.0
USR00071,29,Mumbai,savings,1317.57,True,1,8,6144.9,768.1125,54,3,3,0.0,0.0
USR00072,32,Pune,wallet,16744.85,True,0,15,15417.16,1027.8106666666667,30,8,8,2.0,4.0
USR00073,33,Mumbai,current,82566.26,True,0,10,13756.45,1375.645,42,6,6,0.0,0.0
