user_id,churn,recency_days,frequency,monetary,r_score,f_score,m_score,segment,rfm_score
USR00001,0,9.0,8,13757.12,4,2,3,Loyal,9
USR00002,0,35.0,9,11928.71,3,2,3,Promising,8
USR00003,0,55.0,9,15498.9,3,2,3,Promising,8
USR00004,0,15.0,17,17322.58,4,3,3,Loyal,10
USR00005,0,9.0,18,26856.99,4,3,3,Loyal,10
USR00006,0,30.0,14,19209.17,4,3,3,Loyal,10
USR00007,0,20.0,13,24873.29,4,3,3,Loyal,10
USR00008,0,45.0,11,15539.32,3,3,3,Loyal,9
USR00009,0,18.0,8,13687.6,4,2,3,Loyal,9
USR00010,0,36.0,14,27058.66,3,3,3,Loyal,9
USR00011,0,38.0,10,18592.3,3,3,3,Loyal,9
USR00012,1,37.0,4,1713.23,3,2,2,Promising,7
USR00013,0,30.0,13,24800.49,4,3,3,Loyal,10
USR00014,0,18.0,16,18500.53,4,3,3,Loyal,10
USR00015,0,30.0,14,20059.17,4,3,3,Loyal,10
USR00016,0,33.0,15,21058.93,3,3,3,Loyal,9
USR00017,1,50.0,8,3279.44,3,2,2,Promising,7
USR00018,0,15.0,22,35368.41,4,4,3,Champion,11
USR00019,0,21.0,13,12533.92,4,3,3,Loyal,10
USR00020,0,15.0,16,21058.73,4,3,3,Loyal,10
USR00021,0,23.0,14,16784.03,4,3,3,Loyal,10
USR00022,0,29.0,11,14151.78,4,3,3,Loyal,10
USR00023,0,36.0,17,16793.01,3,3,3,Loyal,9
USR00024,0,12.0,17,20522.46,4,3,3,Loyal,10
USR00025,0,12.0,9,14698.29,4,2,3,Loyal,9
USR00026,0,38.0,11,13616.25,3,3,3,Loyal,9
USR00027,0,10.0,15,27503.09,4,3,3,Loyal,10
USR00028,0,39.0,9,7519.85,3,2,2,Promising,7
USR00029,0,51.0,9,6653.53,3,2,2,Promising,7
USR00030,0,36.0,5,4889.94,3,2,2,Promising,7
USR00031,0,38.0,11,11083.66,3,3,3,Loyal,9
USR00032,0,17.0,19,34018.25,4,3,3,Loyal,10
USR00033,0,29.0,12,12242.79,4,3,3,Loyal,10
USR00034,0,8.0,15,12449.94,4,3,3,Loyal,10
USR00035,0,35.0,11,16187.51,3,3,3,Loyal,9
USR00036,0,20.0,16,28361.62,4,3,3,Loyal,10
USR00037,0,18.0,13,12480.96,4,3,3,Loyal,10
USR00038,0,45.0,12,11498.26,3,3,3,Loyal,9
USR00039,0,45.0,13,23473.43,3,3,3,Loyal,9
USR00040,0,12.0,16,25868.59,4,3,3,Loyal,10
USR00041,0,5.0,9,8288.68,4,2,2,Promising,8
USR00042,1,54.0,11,5278.61,3,3,2,Promising,8
USR00043,0,24.0,17,21351.86,4,3,3,Loyal,10
USR00044,0,47.0,13,11324.22,3,3,3,Loyal,9
USR00045,0,9.0,8,6400.88,4,2,2,Promising,8
USR00046,0,16.0,13,13186.7,4,3,3,Loyal,10
USR00047,0,42.0,10,9309.61,3,3,2,Promising,8
USR00048,0,5.0,20,17155.63,4,4,3,Champion,11
USR00049,0,15.0,16,11579.94,4,3,3,Loyal,10
USR00050,0,20.0,13,12507.89,4,3,3,Loyal,10
USR00051,0,17.0,7,3940.8,4,2,2,Promising,8
USR00052,0,27.0,15,26218.76,4,3,3,Loyal,10
USR00053,0,21.0,15,23212.59,4,3,3,Loyal,10
USR00054,0,35.0,18,23055.1,3,3,3,Loyal,9
USR00055,0,5.0,12,22496.7,4,3,3,Loyal,10
USR00056,0,30.0,21,22531.18,4,4,3,Champion,11
USR00057,0,24.0,12,10120.47,4,3,3,Loyal,10
USR00058,0,15.0,15,23217.9,4,3,3,Loyal,10
USR00059,0,33.0,15,18280.98,3,3,3,Loyal,9
USR00060,0,10.0,15,16940.76,4,3,3,Loyal,10
USR00061,0,23.0,20,23512.69,4,4,3,Champion,11
USR00062,0,14.0,15,19117.98,4,3,3,Loyal,10
USR00063,0,17.0,18,24093.59,4,3,3,Loyal,10
USR00064,0,22.0,18,19746.02,4,3,3,Loyal,10
USR00065,0,25.0,21,22436.07,4,4,3,Champion,11
USR00066,0,13.0,9,9866.24,4,2,2,Promising,8
USR00067,0,19.0,18,13033.87,4,3,3,Loyal,10
USR00068,0,30.0,17,18456.6,4,3,3,Loyal,10
USR00069,0,4.0,14,12035.29,4,3,3,Loyal,10
USR00070,0,12.0,18,11203.18,4,3,3,Loyal,10
USR00071,1,56.0,8,6144.9,3,2,2,Promising,7
USR00072,0,32.0,15,15417.16,3,3,3,Loyal,9
USR00073,0,44.0,10,13756.45,3,3,3,Loyal,9
USR00074,0,16.0,13,9554.35,4,3,2,Loyal,9
USR00075,0,23.0,6,6425.87,4,2,2,Promising,8
USR00076,0,89.0,10,10309.51,3,3,3,Loyal,9
USR00077,0,57.0,11,17353.7,3,3,3,Loyal,9
USR00078,0,30.0,21,25998.26,4,4,3,Champion,11
USR00079,1,94.0,5,1494.53,2,2,2,At Risk,6
USR00080,0,54.0,12,21707.08,3,3,3,Loyal,9
USR00081,1,46.0,8,9408.12,3,2,2,Promising,7
USR00082,0,39.0,20,18659.24,3,4,3,Loyal,10
USR00083,0,112.0,7,15556.23,2,2,3,Promising,7
USR00084,0,9.0,17,17821.69,4,3,3,Loyal,10
USR00085,0,18.0,21,30070.08,4,4,3,Champion,11
USR00086,0,9.0,14,14490.78,4,3,3,Loyal,10
USR00087,0,59.0,12,14946.04,3,3,3,Loyal,9
USR00088,0,34.0,8,17709.98,3,2,3,Promising,8
USR00089,0,81.0,8,8414.81,3,2,2,Promising,7
USR00090,0,5.0,10,15685.65,4,3,3,Loyal,10
USR00091,0,83.0,10,14304.05,3,3,3,Loyal,9
USR00092,0,65.0,9,16912.13,3,2,3,Promising,8
USR00093,0,18.0,14,15819.99,4,3,3,Loyal,10
USR00094,0,44.0,10,5906.9,3,3,2,Promising,8
USR00095,0,18.0,12,11494.64,4,3,3,Loyal,10
USR00096,0,38.0,12,11521.16,3,3,3,Loyal,9
USR00097,0,21.0,13,12463.59,4,3,3,Loyal,10
USR00098,0,29.0,12,16940.19,4,3,3,Loyal,10
USR00099,0,24.0,16,22665.4,4,3,3,Loyal,10
USR00100,0,32.0,13,14251.45,3,3,3,Loyal,9
USR00101,0,30.0,9,9961.95,4,2,2,Promising,8
USR00102,0,58.0,7,12827.73,3,2,3,Promising,8
USR00103,0,36.0,12,14332.0,3,3,3,Loyal,9
USR00104,0,25.0,22,22343.34,4,4,3,Champion,11
USR00105,0,23.0,16,16715.63,4,3,3,Loyal,10
USR00106,0,48.0,15,21386.71,3,3,3,Loyal,9
USR00107,0,14.0,15,17755.35,4,3,3,Loyal,10
USR00108,0,32.0,13,10791.11,3,3,3,Loyal,9
USR00109,0,34.0,21,19582.43,3,4,3,Loyal,10
USR00110,0,17.0,20,18524.61,4,4,3,Champion,11
USR00111,0,30.0,8,7789.46,4,2,2,Promising,8
USR00112,0,30.0,20,20669.81,4,4,3,Champion,11
USR00113,0,49.0,15,16379.99,3,3,3,Loyal,9
USR00114,0,13.0,11,13418.54,4,3,3,Loyal,10
USR00115,0,8.0,17,32421.0,4,3,3,Loyal,10
USR00116,0,16.0,10,14123.83,4,3,3,Loyal,10
USR00117,0,25.0,10,11445.76,4,3,3,Loyal,10
USR00118,0,4.0,15,21867.18,4,3,3,Loyal,10
USR00119,0,8.0,14,17489.56,4,3,3,Loyal,10
USR00120,0,50.0,8,10610.23,3,2,3,Promising,8
USR00121,0,19.0,23,35500.63,4,4,3,Champion,11
USR00122,0,27.0,13,15530.68,4,3,3,Loyal,10
USR00123,0,24.0,16,16252.69,4,3,3,Loyal,10
USR00124,0,42.0,12,15180.36,3,3,3,Loyal,9
USR00125,0,36.0,12,14053.97,3,3,3,Loyal,9
USR00126,0,38.0,8,4386.43,3,2,2,Promising,7
USR00127,0,23.0,12,19773.06,4,3,3,Loyal,10
USR00128,0,26.0,20,31683.27,4,4,3,Champion,11
USR00129,0,8.0,15,8947.61,4,3,2,Loyal,9
USR00130,0,14.0,19,24525.99,4,3,3,Loyal,10
USR00131,0,26.0,17,18696.27,4,3,3,Loyal,10
USR00132,0,18.0,17,17331.82,4,3,3,Loyal,10
USR00133,0,25.0,17,14839.13,4,3,3,Loyal,10
USR00134,0,45.0,16,15953.46,3,3,3,Loyal,9
USR00135,0,39.0,21,33417.83,3,4,3,Loyal,10
USR00136,0,13.0,15,12369.39,4,3,3,Loyal,10
USR00137,0,16.0,12,16287.85,4,3,3,Loyal,10
USR00138,0,35.0,13,15564.1,3,3,3,Loyal,9
USR00139,0,15.0,14,11986.01,4,3,3,Loyal,10
USR00140,0,43.0,11,19393.85,3,3,3,Loyal,9
USR00141,0,25.0,14,17283.23,4,3,3,Loyal,10
USR00142,0,38.0,19,25472.51,3,3,3,Loyal,9
USR00143,0,29.0,16,8462.93,4,3,2,Loyal,9
USR00144,0,38.0,10,11536.72,3,3,3,Loyal,9
USR00145,0,24.0,14,14760.35,4,3,3,Loyal,10
USR00146,0,37.0,12,9829.91,3,3,2,Promising,8
USR00147,0,36.0,18,15350.35,3,3,3,Loyal,9
USR00148,0,22.0,13,14716.52,4,3,3,Loyal,10
USR00149,0,35.0,19,19290.02,3,3,3,Loyal,9
USR00150,0,34.0,14,21343.23,3,3,3,Loyal,9
USR00151,1,33.0,9,4045.02,3,2,2,Promising,7
USR00152,0,6.0,13,15739.75,4,3,3,Loyal,10
USR00153,0,26.0,14,9798.73,4,3,2,Loyal,9
USR00154,0,37.0,19,23835.69,3,3,3,Loyal,9
USR00155,0,18.0,10,6558.34,4,3,2,Loyal,9
USR00156,0,26.0,19,23914.05,4,3,3,Loyal,10
USR00157,0,11.0,12,18896.34,4,3,3,Loyal,10
USR00158,0,21.0,13,13636.28,4,3,3,Loyal,10
USR00159,0,28.0,13,19280.76,4,3,3,Loyal,10
USR00160,0,34.0,16,18266.75,3,3,3,Loyal,9
USR00161,0,31.0,17,20055.85,3,3,3,Loyal,9
USR00162,0,18.0,12,10546.6,4,3,3,Loyal,10
USR00163,0,22.0,17,12380.21,4,3,3,Loyal,10
USR00164,0,23.0,13,11793.22,4,3,3,Loyal,10
USR00165,0,49.0,14,19444.2,3,3,3,Loyal,9
USR00166,0,52.0,10,8980.38,3,3,2,Promising,8
USR00167,0,49.0,11,13262.95,3,3,3,Loyal,9
USR00168,0,7.0,15,14081.41,4,3,3,Loyal,10
USR00169,0,14.0,19,28537.61,4,3,3,Loyal,10
USR00170,1,17.0,9,2105.5,4,2,2,Promising,8
USR00171,0,35.0,17,17005.08,3,3,3,Loyal,9
USR00172,0,19.0,8,10386.16,4,2,3,Loyal,9
USR00173,0,30.0,17,33092.38,4,3,3,Loyal,10
USR00174,0,16.0,11,14152.98,4,3,3,Loyal,10
USR00175,0,41.0,13,16225.78,3,3,3,Loyal,9
USR00176,0,43.0,15,23719.51,3,3,3,Loyal,9
USR00177,0,20.0,12,11250.22,4,3,3,Loyal,10
USR00178,0,13.0,14,19477.68,4,3,3,Loyal,10
USR00179,0,7.0,15,10180.52,4,3,3,Loyal,10
USR00180,0,36.0,14,22527.35,3,3,3,Loyal,9
USR00181,0,37.0,21,13810.98,3,4,3,Loyal,10
USR00182,0,7.0,16,14810.26,4,3,3,Loyal,10
USR00183,1,167.0,5,1835.26,2,2,2,At Risk,6
USR00184,0,10.0,17,20083.48,4,3,3,Loyal,10
USR00185,0,41.0,11,9016.44,3,3,2,Promising,8
USR00186,1,72.0,9,6111.12,3,2,2,Promising,7
USR00187,0,41.0,7,8047.39,3,2,2,Promising,7
USR00188,0,25.0,9,11258.22,4,2,3,Loyal,9
USR00189,0,24.0,18,19327.87,4,3,3,Loyal,10
USR00190,0,10.0,16,26762.91,4,3,3,Loyal,10
USR00191,0,10.0,15,12662.64,4,3,3,Loyal,10
USR00192,0,9.0,7,11562.82,4,2,3,Loyal,9
USR00193,0,13.0,7,3405.35,4,2,2,Promising,8
USR00194,0,21.0,15,11879.17,4,3,3,Loyal,10
USR00195,0,11.0,12,13807.77,4,3,3,Loyal,10
USR00196,0,29.0,10,18961.74,4,3,3,Loyal,10
USR00197,0,8.0,18,17660.13,4,3,3,Loyal,10
USR00198,0,35.0,11,8675.26,3,3,2,Promising,8
USR00199,0,21.0,17,18026.17,4,3,3,Loyal,10
USR00200,1,66.0,4,2477.39,3,2,2,Promising,7
USR00201,0,17.0,19,16936.99,4,3,3,Loyal,10
USR00202,0,25.0,21,24324.49,4,4,3,Champion,11
USR00203,0,33.0,12,11417.02,3,3,3,Loyal,9
USR00204,0,13.0,16,22719.91,4,3,3,Loyal,10
USR00205,0,22.0,8,14529.12,4,2,3,Loyal,9
USR00206,0,30.0,16,23792.62,4,3,3,Loyal,10
USR00207,0,74.0,24,29701.23,3,4,3,Loyal,10
USR00208,0,19.0,20,24881.94,4,4,3,Champion,11
USR00209,0,15.0,17,23707.66,4,3,3,Loyal,10
USR00210,0,17.0,16,21119.53,4,3,3,Loyal,10
USR00211,0,8.0,21,24424.03,4,4,3,Champion,11
USR00212,0,17.0,11,9566.95,4,3,2,Loyal,9
USR00213,0,54.0,15,17131.1,3,3,3,Loyal,9
USR00214,0,47.0,13,11552.56,3,3,3,Loyal,9
USR00215,1,83.0,10,4202.61,3,3,2,Promising,8
USR00216,0,25.0,12,11802.48,4,3,3,Loyal,10
USR00217,0,28.0,15,16065.21,4,3,3,Loyal,10
USR00218,0,19.0,10,15022.08,4,3,3,Loyal,10
USR00219,1,37.0,10,3552.87,3,3,2,Promising,8
USR00220,1,156.0,7,3812.06,2,2,2,At Risk,6
USR00221,0,39.0,15,16878.98,3,3,3,Loyal,9
USR00222,0,10.0,19,23758.18,4,3,3,Loyal,10
USR00223,0,9.0,14,18030.83,4,3,3,Loyal,10
USR00224,0,15.0,16,19501.12,4,3,3,Loyal,10
USR00225,0,49.0,14,14618.53,3,3,3,Loyal,9
USR00226,0,42.0,8,7888.91,3,2,2,Promising,7
USR00227,0,49.0,9,6138.1,3,2,2,Promising,7
USR00228,0,14.0,12,15036.13,4,3,3,Loyal,10
USR00229,0,34.0,12,12062.29,3,3,3,Loyal,9
USR00230,0,24.0,12,11708.74,4,3,3,Loyal,10
USR00231,0,6.0,14,20696.2,4,3,3,Loyal,10
USR00232,0,7.0,10,7179.95,4,3,2,Loyal,9
USR00233,0,22.0,12,10347.81,4,3,3,Loyal,10
USR00234,0,29.0,12,12725.44,4,3,3,Loyal,10
USR00235,0,14.0,19,27159.59,4,3,3,Loyal,10
USR00236,0,23.0,18,24053.05,4,3,3,Loyal,10
USR00237,0,25.0,10,9222.52,4,3,2,Loyal,9
USR00238,0,18.0,14,18090.74,4,3,3,Loyal,10
USR00239,0,17.0,16,17161.79,4,3,3,Loyal,10
USR00240,0,58.0,9,7446.81,3,2,2,Promising,7
USR00241,1,84.0,11,5912.35,3,3,2,Promising,8
USR00242,0,26.0,8,7803.71,4,2,2,Promising,8
USR00243,0,17.0,14,9994.02,4,3,2,Loyal,9
USR00244,0,29.0,21,27504.2,4,4,3,Champion,11
USR00245,0,33.0,12,10609.45,3,3,3,Loyal,9
USR00246,0,17.0,15,15749.53,4,3,3,Loyal,10
USR00247,1,88.0,4,2656.08,3,2,2,Promising,7
USR00248,0,69.0,10,6378.23,3,3,2,Promising,8
USR00249,0,26.0,15,15516.84,4,3,3,Loyal,10
USR00250,0,26.0,12,16875.59,4,3,3,Loyal,10
USR00251,0,39.0,12,11654.78,3,3,3,Loyal,9
USR00252,0,9.0,7,9139.92,4,2,2,Promising,8
USR00253,0,31.0,14,15605.51,3,3,3,Loyal,9
USR00254,0,40.0,17,22323.12,3,3,3,Loyal,9
USR00255,0,28.0,16,17431.56,4,3,3,Loyal,10
USR00256,0,17.0,16,12583.28,4,3,3,Loyal,10
USR00257,0,37.0,7,7962.68,3,2,2,Promising,7
USR00258,0,40.0,12,16957.87,3,3,3,Loyal,9
USR00259,0,10.0,16,14086.88,4,3,3,Loyal,10
USR00260,0,42.0,10,13637.13,3,3,3,Loyal,9
USR00261,0,12.0,8,9021.69,4,2,2,Promising,8
USR00262,0,29.0,13,12026.88,4,3,3,Loyal,10
USR00263,0,32.0,11,13651.0,3,3,3,Loyal,9
USR00264,0,13.0,11,11954.68,4,3,3,Loyal,10
USR00265,0,22.0,13,11589.36,4,3,3,Loyal,10
USR00266,0,10.0,11,7672.87,4,3,2,Loyal,9
USR00267,0,15.0,11,13869.13,4,3,3,Loyal,10
USR00268,0,15.0,8,4641.93,4,2,2,Promising,8
USR00269,0,21.0,18,21413.9,4,3,3,Loyal,10
USR00270,0,16.0,18,25825.73,4,3,3,Loyal,10
USR00271,0,16.0,13,11996.13,4,3,3,Loyal,10
USR00272,0,31.0,9,11150.3,3,2,3,Promising,8
USR00273,0,33.0,7,6074.84,3,2,2,Promising,7
USR00274,0,21.0,16,24342.66,4,3,3,Loyal,10
USR00275,0,49.0,13,7112.89,3,3,2,Promising,8
USR00276,0,12.0,13,13910.12,4,3,3,Loyal,10
USR00277,0,13.0,16,17163.35,4,3,3,Loyal,10
USR00278,0,25.0,15,22721.9,4,3,3,Loyal,10
USR00279,0,36.0,16,21689.46,3,3,3,Loyal,9
USR00280,0,25.0,10,11256.58,4,3,3,Loyal,10
USR00281,0,32.0,10,5935.39,3,3,2,Promising,8
USR00282,1,112.0,7,5964.35,2,2,2,At Risk,6
USR00283,0,21.0,22,19023.72,4,4,3,Champion,11
USR00284,0,58.0,9,12087.06,3,2,3,Promising,8
USR00285,0,33.0,9,12228.36,3,2,3,Promising,8
USR00286,0,26.0,10,11151.91,4,3,3,Loyal,10
USR00287,1,63.0,8,3207.65,3,2,2,Promising,7
USR00288,0,9.0,18,18335.96,4,3,3,Loyal,10
USR00289,0,23.0,14,14241.58,4,3,3,Loyal,10
USR00290,1,28.0,8,3423.45,4,2,2,Promising,8
USR00291,0,23.0,20,18431.26,4,4,3,Champion,11
USR00292,0,5.0,11,23694.02,4,3,3,Loyal,10
USR00293,0,38.0,8,11185.85,3,2,3,Promising,8
USR00294,0,55.0,7,4567.31,3,2,2,Promising,7
USR00295,0,28.0,4,7894.52,4,2,2,Promising,8
USR00296,0,8.0,15,16837.49,4,3,3,Loyal,10
USR00297,0,18.0,12,14057.82,4,3,3,Loyal,10
USR00298,1,39.0,9,8105.7,3,2,2,Promising,7
USR00299,0,17.0,11,15138.18,4,3,3,Loyal,10
USR00300,0,10.0,20,18326.09,4,4,3,Champion,11
USR00301,0,14.0,10,12472.33,4,3,3,Loyal,10
USR00302,0,81.0,15,19481.15,3,3,3,Loyal,9
USR00303,0,9.0,15,13750.12,4,3,3,Loyal,10
USR00304,0,26.0,17,25691.31,4,3,3,Loyal,10
USR00305,0,25.0,15,15856.91,4,3,3,Loyal,10
USR00306,0,31.0,16,27194.65,3,3,3,Loyal,9
USR00307,1,92.0,8,4141.62,2,2,2,At Risk,6
USR00308,0,23.0,8,14844.11,4,2,3,Loyal,9
USR00309,0,34.0,21,23765.87,3,4,3,Loyal,10
USR00310,1,77.0,5,3906.6,3,2,2,Promising,7
USR00311,0,11.0,17,24801.41,4,3,3,Loyal,10
USR00312,0,16.0,15,13639.87,4,3,3,Loyal,10
USR00313,0,21.0,12,9767.0,4,3,2,Loyal,9
USR00314,0,39.0,14,16975.41,3,3,3,Loyal,9
USR00315,0,34.0,13,8552.78,3,3,2,Promising,8
USR00316,0,30.0,18,24296.91,4,3,3,Loyal,10
USR00317,0,35.0,11,10949.93,3,3,3,Loyal,9
USR00318,0,27.0,17,22060.48,4,3,3,Loyal,10
USR00319,0,20.0,12,14860.96,4,3,3,Loyal,10
USR00320,0,36.0,13,12403.45,3,3,3,Loyal,9
USR00321,0,17.0,12,11542.71,4,3,3,Loyal,10
USR00322,0,33.0,18,19097.99,3,3,3,Loyal,9
