user_id,issue_type,satisfaction_score,churn
USR09762,money_not_received,4,0
USR02726,account_blocked,4,0
USR08312,money_not_received,5,0
USR06640,transaction_failed,3,0
USR06640,kyc_issue,4,0
USR02177,wrong_charge,5,0
USR04312,account_blocked,3,0
USR04253,money_not_received,3,0
USR07065,transaction_failed,4,0
USR07065,money_not_received,5,0
USR09749,general_query,5,0
USR09749,money_not_received,3,0
USR03383,account_blocked,3,0
USR07605,account_blocked,4,0
USR04259,account_blocked,5,0
USR07343,money_not_received,3,0
USR05774,app_crash,4,0
USR08047,money_not_received,3,0
USR08567,money_not_received,4,0
USR04937,account_blocked,5,0
USR04937,transaction_failed,4,0
USR02811,kyc_issue,3,0
USR02811,app_crash,5,0
USR02811,transaction_failed,3,0
USR09543,money_not_received,5,0
USR05540,general_query,3,0
USR08482,account_blocked,5,0
USR09418,kyc_issue,5,0
USR06516,account_blocked,4,1
USR06516,money_not_received,2,1
USR06516,kyc_issue,5,1
USR07423,general_query,3,0
USR07423,transaction_failed,5,0
USR06537,general_query,4,0
USR06997,wrong_charge,3,0
USR06997,app_crash,5,0
USR06572,kyc_issue,3,0
USR07177,kyc_issue,5,0
USR04981,kyc_issue,5,0
USR03502,kyc_issue,4,0
USR03502,app_crash,3,0
USR07403,money_not_received,4,0
USR02184,app_crash,5,0
USR02184,money_not_received,3,0
USR02184,account_blocked,3,0
USR02184,general_query,5,0
USR05061,app_crash,5,0
USR05061,app_crash,3,0
USR03291,account_blocked,4,0
USR03291,general_query,5,0
USR03220,account_blocked,4,0
USR05053,transaction_failed,3,0
USR06676,money_not_received,4,0
USR01306,transaction_failed,3,0
USR01306,money_not_received,5,0
USR05904,app_crash,4,0
USR09635,kyc_issue,4,0
USR09801,account_blocked,4,0
USR09162,transaction_failed,5,0
USR00812,transaction_failed,4,0
USR04149,wrong_charge,4,0
USR00760,money_not_received,5,0
USR06866,transaction_failed,5,0
USR01067,account_blocked,4,0
USR05901,transaction_failed,1,1
